model,n,p,seed,nr_cliques,max_clique,time_cliques
dense_gnp,30,0.7,1928,465,8,1.134432
dense_gnp,30,0.7,2839,426,11,0.418280
dense_gnp,30,0.7,291,522,10,1.299188
dense_gnp,30,0.7,34,550,9,0.514031
dense_gnp,30,0.7,3728,359,9,0.347111
dense_gnp,30,0.7,4029,761,9,1.414356
dense_gnp,30,0.7,482,537,9,0.898717
dense_gnp,30,0.7,56,535,10,1.339556
dense_gnp,30,0.7,7821,374,9,0.358565
dense_gnp,30,0.7,917,377,10,1.028482
dense_gnp,30,0.7,91928,421,9,0.372324
dense_gnp,30,0.7,92839,434,9,0.800311
dense_gnp,30,0.7,9291,525,9,0.394185
dense_gnp,30,0.7,934,685,10,0.534425
dense_gnp,30,0.7,93728,427,10,0.887054
dense_gnp,30,0.7,94029,476,10,0.428476
dense_gnp,30,0.7,9482,422,8,0.836000
dense_gnp,30,0.7,956,448,10,0.419397
dense_gnp,30,0.7,97821,465,10,0.407314
superdense_gnp,30,0.866667,17,663,15,0.651269
superdense_gnp,30,0.866667,1928,420,15,1.494254
superdense_gnp,30,0.866667,2839,799,15,1.697213
superdense_gnp,30,0.866667,291,598,15,1.331244
superdense_gnp,30,0.866667,34,1322,14,2.511771
superdense_gnp,30,0.866667,3728,721,14,1.348635
superdense_gnp,30,0.866667,4029,684,16,0.714336
superdense_gnp,30,0.866667,482,957,12,2.113397
superdense_gnp,30,0.866667,56,767,16,2.170737
superdense_gnp,30,0.866667,7821,938,14,0.758477
superdense_gnp,30,0.866667,917,723,15,2.011918
superdense_gnp,30,0.866667,91928,741,15,0.835093
superdense_gnp,30,0.866667,92839,1400,13,2.437880
superdense_gnp,30,0.866667,9291,612,16,0.638489
superdense_gnp,30,0.866667,934,1088,16,1.839759
superdense_gnp,30,0.866667,93728,526,16,0.691429
superdense_gnp,30,0.866667,94029,614,16,0.689124
superdense_gnp,30,0.866667,9482,1612,13,1.260286
superdense_gnp,30,0.866667,956,903,15,1.971969
superdense_gnp,30,0.866667,97821,1095,14,1.137994
dense_gnp,30,0.8,17,443,12,0.461581
dense_gnp,30,0.8,1928,890,11,0.699251
dense_gnp,30,0.8,2839,742,12,2.005632
dense_gnp,30,0.8,291,1029,12,1.918331
